,ID,players_turn,decision_consistency,coalition_suggestion,C0,C1,C2,C3,C4,C5,C6,S0,S1,S2,S3,S4,S5,S6,R0,R1,R2,R3,R4,R5,R6,round_num,CP,in_cp,Reward
2,1001,1,1,1,0,1,2,3,4,5,6,1,1,0,0,0,0,0,0,0,1,2,3,4,5,1,-1,-1,1
3,1001,1,0,1,0,0,1,2,3,4,5,1,0,0,0,1,0,0,0,0,1,2,3,4,5,2,-1,-1,1
4,1001,1,0,1,0,0,1,2,3,1,4,1,1,0,0,0,0,1,0,0,1,2,3,1,4,3,-1,-1,1
5,1001,0,1,1,0,0,1,2,3,1,4,1,1,1,0,0,1,0,0,0,0,1,2,0,3,3,-1,-1,1
6,1001,1,0,1,0,0,0,1,2,0,3,1,1,0,0,0,0,0,0,0,0,1,2,0,3,4,-1,-1,1
7,1001,1,1,1,0,0,0,1,2,0,3,1,1,1,0,1,1,0,0,0,0,1,2,0,3,5,-1,-1,1
8,1001,0,1,1,0,0,0,1,2,0,3,1,1,1,0,0,0,0,0,0,0,1,2,3,4,5,-1,0,2
9,1001,1,0,1,0,0,0,1,2,3,4,1,0,0,0,0,0,1,0,0,0,1,2,3,4,6,-1,0,2
10,1001,1,0,1,0,0,0,1,2,3,4,1,1,0,0,0,0,0,0,0,0,1,2,3,4,7,-1,0,2
11,1001,1,0,1,0,0,0,1,2,3,4,1,1,1,0,1,0,0,0,0,0,1,2,3,4,8,-1,0,2
12,1001,1,0,1,0,0,0,1,2,3,4,1,0,0,0,0,0,0,0,0,0,1,2,3,4,9,-1,0,2
13,1001,1,0,1,0,0,0,1,2,3,1,1,1,1,1,0,0,1,0,0,0,1,2,3,1,10,-1,0,2
14,1001,1,0,1,0,0,0,1,2,3,1,1,1,1,1,0,0,1,0,0,0,1,2,3,1,11,-1,0,2
15,1001,2,2,2,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,11,0,0,2
